location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,reg_BRUXELLES,reg_VLAANDEREN,reg_WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
1050,APARTMENT,APARTMENT,295000,2,71,1,0,0,1,10,0,,,2,0,GOOD,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,10,10,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9000,APARTMENT,APARTMENT,424000,2,85,0,0,0,1,17,0,,,,0,AS_NEW,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,17,17,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6000,HOUSE,HOUSE,160000,4,196,1,0,0,1,6,0,,76,2,0,AS_NEW,Charleroi,Non,CHARLEROI,HAINAUT,WALLONIE,6,6,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8500,APARTMENT,APARTMENT,219500,2,95,1,0,0,1,,0,,,,0,AS_NEW,Kortrijk,Non,KORTRIJK,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2300,APARTMENT,APARTMENT,184000,2,68,1,1,0,1,10,0,,,,0,AS_NEW,Turnhout,Non,TURNHOUT,ANVERS,VLAANDEREN,10,10,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4950,HOUSE,HOUSE,179000,5,140,1,0,0,1,7,1,680,929,,0,TO_BE_DONE_UP,Waimes,Non,WAIMES,LIEGE,WALLONIE,7,7,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9000,APARTMENT,APARTMENT,362500,2,104,0,0,0,1,12,0,,,2,0,TO_RENOVATE,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,12,12,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9320,HOUSE,HOUSE,286000,3,214,1,0,0,1,20,1,100,290,3,0,GOOD,Erembodegem,Oui,AALST,FLANDRE-ORIENTALE,VLAANDEREN,20,20,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8800,HOUSE,HOUSE,193000,3,137,1,0,0,1,,1,1,209,,0,TO_BE_DONE_UP,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8870,HOUSE,HOUSE,299000,3,200,1,0,0,0,,1,,289,,0,AS_NEW,Izegem,Non,IZEGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,16,200,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
