postalCode,Commune,Sous_Commune,Commune_Principale,Province,Region
1671,Elingen,Oui,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
1673,Beert,Oui,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
1674,Bellingen,Oui,PEPINGEN,BRABANT FLAMAND,VLAANDEREN
1700,Dilbeek,Non,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1700,Sint-Martens-Bodegem,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1700,Sint-Ulriks-Kapelle,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1701,Itterbeek,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1702,Groot-Bijgaarden,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1703,Schepdaal,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN
1730,Asse,Non,ASSE,BRABANT FLAMAND,VLAANDEREN
1730,Bekkerzeel,Oui,ASSE,BRABANT FLAMAND,VLAANDEREN
1730,Kobbegem,Oui,ASSE,BRABANT FLAMAND,VLAANDEREN
1730,Mollem,Oui,ASSE,BRABANT FLAMAND,VLAANDEREN
1731,Relegem,Oui,ASSE,BRABANT FLAMAND,VLAANDEREN
1731,Zellik,Oui,ASSE,BRABANT FLAMAND,VLAANDEREN
1733,HighCo DATA,,HighCo DATA,,
1740,Ternat,Non,TERNAT,BRABANT FLAMAND,VLAANDEREN
1741,Wambeek,Oui,TERNAT,BRABANT FLAMAND,VLAANDEREN
1742,Sint-Katherina-Lombeek,Oui,TERNAT,BRABANT FLAMAND,VLAANDEREN
1745,Mazenzele,Oui,OPWIJK,BRABANT FLAMAND,VLAANDEREN
1745,Opwijk,Non,OPWIJK,BRABANT FLAMAND,VLAANDEREN
1750,Gaasbeek,Oui,LENNIK,BRABANT FLAMAND,VLAANDEREN
1750,Sint-Kwintens-Lennik,Oui,LENNIK,BRABANT FLAMAND,VLAANDEREN
1750,Sint-Martens-Lennik,Oui,LENNIK,BRABANT FLAMAND,VLAANDEREN
1755,Gooik,Non,GOOIK,BRABANT FLAMAND,VLAANDEREN
1755,Kester,Oui,GOOIK,BRABANT FLAMAND,VLAANDEREN
1755,Leerbeek,Oui,GOOIK,BRABANT FLAMAND,VLAANDEREN
1755,Oetingen,Oui,GOOIK,BRABANT FLAMAND,VLAANDEREN
1760,Onze-Lieve-Vrouw-Lombeek,Oui,ROOSDAAL,BRABANT FLAMAND,VLAANDEREN
1760,Pamel,Oui,ROOSDAAL,BRABANT FLAMAND,VLAANDEREN
1760,Roosdaal,Non,ROOSDAAL,BRABANT FLAMAND,VLAANDEREN
1760,Strijtem,Oui,ROOSDAAL,BRABANT FLAMAND,VLAANDEREN
1761,Borchtlombeek,Oui,ROOSDAAL,BRABANT FLAMAND,VLAANDEREN
1770,Liedekerke,Non,LIEDEKERKE,BRABANT FLAMAND,VLAANDEREN
1780,Wemmel,Non,WEMMEL,BRABANT FLAMAND,VLAANDEREN
1785,Brussegem,Oui,MERCHTEM,BRABANT FLAMAND,VLAANDEREN
1785,Hamme,Oui,MERCHTEM,BRABANT FLAMAND,VLAANDEREN
1785,Merchtem,Non,MERCHTEM,BRABANT FLAMAND,VLAANDEREN
1790,Affligem,Non,AFFLIGEM,BRABANT FLAMAND,VLAANDEREN
1790,Essene,Oui,AFFLIGEM,BRABANT FLAMAND,VLAANDEREN
1790,Hekelgem,Oui,AFFLIGEM,BRABANT FLAMAND,VLAANDEREN
1790,Teralfene,Oui,AFFLIGEM,BRABANT FLAMAND,VLAANDEREN
1800,Peutie,Oui,VILVOORDE,BRABANT FLAMAND,VLAANDEREN
1800,Vilvoorde,Non,VILVOORDE,BRABANT FLAMAND,VLAANDEREN
1804,Cargovil,,Cargovil,,
1818,VTM,,VTM,,
1820,Melsbroek,Oui,STEENOKKERZEEL,BRABANT FLAMAND,VLAANDEREN
1820,Perk,Oui,STEENOKKERZEEL,BRABANT FLAMAND,VLAANDEREN
1820,Steenokkerzeel,Non,STEENOKKERZEEL,BRABANT FLAMAND,VLAANDEREN
1830,Machelen,Non,MACHELEN,BRABANT FLAMAND,VLAANDEREN
1831,Diegem,Oui,MACHELEN,BRABANT FLAMAND,VLAANDEREN
1840,Londerzeel,Non,LONDERZEEL,BRABANT FLAMAND,VLAANDEREN
1840,Malderen,Oui,LONDERZEEL,BRABANT FLAMAND,VLAANDEREN
1840,Steenhuffel,Oui,LONDERZEEL,BRABANT FLAMAND,VLAANDEREN
1850,Grimbergen,Non,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
1851,Humbeek,Oui,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
1852,Beigem,Oui,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
1853,Strombeek-Bever,Oui,GRIMBERGEN,BRABANT FLAMAND,VLAANDEREN
1860,Meise,Non,MEISE,BRABANT FLAMAND,VLAANDEREN
1861,Wolvertem,Oui,MEISE,BRABANT FLAMAND,VLAANDEREN
1880,Kapelle-Op-Den-Bos,Non,KAPELLE-OP-DEN-BOS,BRABANT FLAMAND,VLAANDEREN
1880,Nieuwenrode,Oui,KAPELLE-OP-DEN-BOS,BRABANT FLAMAND,VLAANDEREN
1880,Ramsdonk,Oui,KAPELLE-OP-DEN-BOS,BRABANT FLAMAND,VLAANDEREN
1910,Berg,Oui,KAMPENHOUT,BRABANT FLAMAND,VLAANDEREN
1910,Buken,Oui,KAMPENHOUT,BRABANT FLAMAND,VLAANDEREN
1910,Kampenhout,Non,KAMPENHOUT,BRABANT FLAMAND,VLAANDEREN
1910,Nederokkerzeel,Oui,KAMPENHOUT,BRABANT FLAMAND,VLAANDEREN
1930,Nossegem,Oui,ZAVENTEM,BRABANT FLAMAND,VLAANDEREN
1930,Zaventem,Non,ZAVENTEM,BRABANT FLAMAND,VLAANDEREN
1931,Brucargo,,Brucargo,,
1932,Sint-Stevens-Woluwe,Oui,ZAVENTEM,BRABANT FLAMAND,VLAANDEREN
1933,Sterrebeek,Oui,ZAVENTEM,BRABANT FLAMAND,VLAANDEREN
1934,Office Exchange Brussels Airport Remailing,,Office Exchange Brussels Airport Remailing,,
1935,Corporate Village,,Corporate Village,,
1950,Kraainem,Non,KRAAINEM,BRABANT FLAMAND,VLAANDEREN
1970,Wezembeek-Oppem,Non,WEZEMBEEK-OPPEM,BRABANT FLAMAND,VLAANDEREN
1980,Eppegem,Oui,ZEMST,BRABANT FLAMAND,VLAANDEREN
1980,Zemst,Non,ZEMST,BRABANT FLAMAND,VLAANDEREN
1981,Hofstade,Oui,ZEMST,BRABANT FLAMAND,VLAANDEREN
1982,Elewijt,Oui,ZEMST,BRABANT FLAMAND,VLAANDEREN
1982,Weerde,Oui,ZEMST,BRABANT FLAMAND,VLAANDEREN
2000,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2018,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2020,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2030,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2040,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2040,Berendrecht,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2040,Lillo,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2040,Zandvliet,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2050,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2060,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN
2070,Burcht,Oui,ZWIJNDRECHT,ANVERS,VLAANDEREN
2070,Zwijndrecht,Non,ZWIJNDRECHT,ANVERS,VLAANDEREN
2099,Antwerpen x,,Antwerpen x,,
2100,Deurne,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2110,Wijnegem,Non,WIJNEGEM,ANVERS,VLAANDEREN
2140,Borgerhout,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2150,Borsbeek,Non,BORSBEEK,ANVERS,VLAANDEREN
2160,Wommelgem,Non,WOMMELGEM,ANVERS,VLAANDEREN
2170,Merksem,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2180,Ekeren,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2200,Herentals,Non,HERENTALS,ANVERS,VLAANDEREN
2200,Morkhoven,Oui,HERENTALS,ANVERS,VLAANDEREN
2200,Noorderwijk,Oui,HERENTALS,ANVERS,VLAANDEREN
2220,Hallaar,Oui,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2220,Heist-Op-Den-Berg,Non,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2221,Booischot,Oui,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2222,Itegem,Oui,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2222,Wiekevorst,Oui,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2223,Schriek,Oui,HEIST-OP-DEN-BERG,ANVERS,VLAANDEREN
2230,Herselt,Non,HERSELT,ANVERS,VLAANDEREN
2230,Ramsel,Oui,HERSELT,ANVERS,VLAANDEREN
2235,Houtvenne,Oui,HULSHOUT,ANVERS,VLAANDEREN
2235,Hulshout,Non,HULSHOUT,ANVERS,VLAANDEREN
2235,Westmeerbeek,Oui,HULSHOUT,ANVERS,VLAANDEREN
2240,Massenhoven,Oui,ZANDHOVEN,ANVERS,VLAANDEREN
2240,Viersel,Oui,ZANDHOVEN,ANVERS,VLAANDEREN
2240,Zandhoven,Non,ZANDHOVEN,ANVERS,VLAANDEREN
2242,Pulderbos,Oui,ZANDHOVEN,ANVERS,VLAANDEREN
2243,Pulle,Oui,ZANDHOVEN,ANVERS,VLAANDEREN
2250,Olen,Non,OLEN,ANVERS,VLAANDEREN
2260,Oevel,Oui,WESTERLO,ANVERS,VLAANDEREN
2260,Tongerlo,Oui,WESTERLO,ANVERS,VLAANDEREN
2260,Westerlo,Non,WESTERLO,ANVERS,VLAANDEREN
2260,Zoerle-Parwijs,Oui,WESTERLO,ANVERS,VLAANDEREN
2270,Herenthout,Non,HERENTHOUT,ANVERS,VLAANDEREN
2275,Gierle,Oui,LILLE,ANVERS,VLAANDEREN
2275,Lille,Non,LILLE,ANVERS,VLAANDEREN
2275,Poederlee,Oui,LILLE,ANVERS,VLAANDEREN
2275,Wechelderzande,Oui,LILLE,ANVERS,VLAANDEREN
2280,Grobbendonk,Non,GROBBENDONK,ANVERS,VLAANDEREN
2288,Bouwel,Oui,GROBBENDONK,ANVERS,VLAANDEREN
2290,Vorselaar,Non,VORSELAAR,ANVERS,VLAANDEREN
2300,Turnhout,Non,TURNHOUT,ANVERS,VLAANDEREN
2310,Rijkevorsel,Non,RIJKEVORSEL,ANVERS,VLAANDEREN
2320,Hoogstraten,Non,HOOGSTRATEN,ANVERS,VLAANDEREN
2321,Meer,Oui,HOOGSTRATEN,ANVERS,VLAANDEREN
2322,Minderhout,Oui,HOOGSTRATEN,ANVERS,VLAANDEREN
2323,Wortel,Oui,HOOGSTRATEN,ANVERS,VLAANDEREN
2328,Meerle,Oui,HOOGSTRATEN,ANVERS,VLAANDEREN
2330,Merksplas,Non,MERKSPLAS,ANVERS,VLAANDEREN
2340,Beerse,Non,BEERSE,ANVERS,VLAANDEREN
2340,Vlimmeren,Oui,BEERSE,ANVERS,VLAANDEREN
2350,Vosselaar,Non,VOSSELAAR,ANVERS,VLAANDEREN
2360,Oud-Turnhout,Non,OUD-TURNHOUT,ANVERS,VLAANDEREN
2370,Arendonk,Non,ARENDONK,ANVERS,VLAANDEREN
2380,Ravels,Non,RAVELS,ANVERS,VLAANDEREN
2381,Weelde,Oui,RAVELS,ANVERS,VLAANDEREN
2382,Poppel,Oui,RAVELS,ANVERS,VLAANDEREN
2387,Baarle-Hertog,Non,BAARLE-HERTOG,ANVERS,VLAANDEREN
2390,Malle,Non,MALLE,ANVERS,VLAANDEREN
2390,Oostmalle,Oui,MALLE,ANVERS,VLAANDEREN
2390,Westmalle,Oui,MALLE,ANVERS,VLAANDEREN
2400,Mol,Non,MOL,ANVERS,VLAANDEREN
2430,Eindhout,Oui,LAAKDAL,ANVERS,VLAANDEREN
2430,Vorst,Oui,LAAKDAL,ANVERS,VLAANDEREN
2431,Varendonk,Oui,LAAKDAL,ANVERS,VLAANDEREN
2431,Veerle,Oui,LAAKDAL,ANVERS,VLAANDEREN
2440,Geel,Non,GEEL,ANVERS,VLAANDEREN
2450,Meerhout,Non,MEERHOUT,ANVERS,VLAANDEREN
2460,Kasterlee,Non,KASTERLEE,ANVERS,VLAANDEREN
2460,Lichtaart,Oui,KASTERLEE,ANVERS,VLAANDEREN
